Live2DViewerEX,http://app.mi.com/details?id=com.pavostudio.live2dviewerex,注意： - 麦克风权限用于控制某些模型 Steam商店页面 http://store.steampowered.com/app/616720/Live2DViewerEX/ 功能： - 设置Live2D动态壁纸 - 加载Live2D模型，包括Steam创意工坊模型、LPK模型和Json模型 - 自定义模型位置、大小和旋转，自定义文本气泡显示 - 加载图像和视频壁纸，支持全景图像和视频 - 快照功能，支持保存和读取壁纸设置 - 双模型显示 - 随机背景和场景 - 手势轨迹特效 - 时钟小部件 - 内置创意工坊 - 超丰富的交互功能和无限的模型扩展 使用说明： - 动态壁纸在屏幕长期开启的状态下会消耗较多的电池（屏幕关闭时处于暂停状态），建议不要长时间游玩 - 使用上请仔细阅读应用内弹出的提示框 - 由于目前处于测试版，内存等资源占用方面有待优化 - 目前支持的语言：英语、简体中文、繁体中文、日语
安全中心,http://app.mi.com/details?id=com.anguanjia.security,【腾讯手机管家智能电视版】 腾讯手机管家强大的安全功能基础上，增加电视管理功能，用手机遥控管理智能电视，把手机网页播放视频，照片投放到电视进行播放。 ★腾讯电视管家★ 【电视投屏】春晚直播投电视，家人共享温馨又方便 【清理加速】一键清理电视垃圾，电视看视频无比流畅 【应用管理】电视应用一目了然，手机安装卸载超方便 【推送安装】手机可以当U盘，软件一键安装到电视 =========快来加入腾讯电视管家群======= 官方QQ交流群：458403158 快来为你家客厅电视做个健康体检大提速，看视频玩游戏快到飞起来！更有腾讯视频全网独播热剧免费看！ ★更多安全功能★ 【微信清理】个性清理微信缓存，参加公益赢大奖 【防御骗局】热门谣言及时提醒，自动拦截诈骗电话 【记账助手】信用卡自动记账单，教你还钱赚钱秘籍 【免费wifi】一键链接免费wifi，畅享王者游戏加速 【病毒查杀】安全防护全新升级，软件云查风险提醒 【支付保护】手机购物险象环生，移动支付安全护航 【流量管家】监控流量及时校准，流量超额马上提醒 【隐私保护】独有私有空间保护，个人资料安全满分 【安全可靠】手机防盗、检测网速、电池管家、安全登录QQ、wifi安全检测，为您360度安全护航。
黑名单,http://app.mi.com/details?id=org.liulinjie.blackcontacts,这是一个非常棒的来电拦截应用，建立一个黑名单即可安枕无忧。软件小巧实用，可以将一切骚扰来电拒之门外。
游帮帮,http://app.mi.com/details?id=com.baidu.yunapp,游帮帮，你的游戏好帮手。
e收银,http://app.mi.com/details?id=cn.swiftpass.enterprise.jgrcb,e收银是一款高效、便捷的收银工具，为商户提供一站式收银、管理、运营、增值服务、金融解决方案。 【收款】商户可快速开通多种移动支付收单方式，支持消费者扫码支付、刷卡支付，收款便捷； 【流水】自定义日期查询订单，每一笔状态都清晰； 【对账】查询每日账单，每日营收一目了然； 【报表】多维度全面立体分析店铺经营状况； 【活动】满立减、会员营销精准有效，即建即用，快速拉动回头客； 【管理】添加收银员并分配权限，管理店铺更省心。
搜建筑,http://app.mi.com/details?id=cn.soujianzhu,搜建筑是国内唯一提供海量的优质建筑设计资料的APP，包含建筑表现、户型平面、SU模型、建筑规范、地方条例等海量资料，掌中即可为地产商、设计院、设计师等提供建筑相关的资讯、分析、研究、专业知识和一些有用、有趣内容信息。
找TA,http://app.mi.com/details?id=com.chinamobile.iot.find,找TA定位终端是中移物联网公司智能硬件技术中心开发的一款针对老人、儿童、宠物、贵重物品等的智能定位设备。采用六重定位技术，提供实时定位服务，获取准确的位置信息，同时具备突发事件SOS求救报警、双向语音、远程监听，电子围栏等功能，给需呵护者全方位保护。
水木华程,http://app.mi.com/details?id=com.ecaray.easycharge.shuimu,水木华程App，专注解决新能源电动汽车车主充电难题。水木华程App支持智能寻桩、充电预约、可调电价(统一电价/峰平谷电价/阶梯电价)、扫码充电、实时计费五大功能，同时支持充电费用集团统付业务，可为汽车用电企业提供完整的充电解决方案。水木华程运营的充电桩包含国标交流慢充桩、国标直流快充桩等多个一线品牌的充电桩，致力于为广大车主朋友提供稳定可靠的充电服务。
宠物邦,http://app.mi.com/details?id=com.cootek.petcircle,宠物邦是集人猫狗翻译、萌宠主题动态壁纸、图片壁纸和宠物来电视频等多种趣味功能于一体的手机软件。为喜欢宠物、养宠物用户提供人宠语音互译的工具，提升用户的养宠乐趣；提供超高清热门萌宠类主题墙纸美化桌面。 --猫狗翻译器，让你与宠物交流更有趣 --萌宠动态壁纸，让手机动起来 --海量图片壁纸，手机每天都换上“新衣” --热门宠物视频，让来电更炫酷
趣打字,http://app.mi.com/details?id=com.caishi.demon,趣打字，一边打字一遍赚钱的输入法
